id_cidade,pib_pc_2015,Perc_rec_ext_2015,receitas_realizadas_2014_x1000,despesas_realizadas_2014_x1000,Pop_econ_ativa_18_mais,Perc_ocupados_setor_agrop,Perc_ocupados_setor_comercio,Perc_ocupados_setor_construcao ,Perc_ocupados_setor_extr_mineral,Perc_ocup_setores_serv_ind_util_pub,Perc_ocupados_setor_servicos,Perc_ocupados_industria_transf,grau_formal_trab_pes_ocupadas,Perc_ocup_fund_comp,Perc_ocup_medio_comp,Perc_ocup_superior_comp,Atv_maior_valor,Atv_segmaior_valor,Atv_tercmaior,1atv_enc,2atv_enc,3atv_enc
5101902,35877.19,81.2,51405.0,45750.0,7454,36.04,11.07,6.92,0.0,2.03,28.76,7.14,55.11,48.18,27.57,5.39,"Agricultura, inclusive apoio à agricultura e a pós colheita",Demais serviços,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",4,10,5
5102504,17077.52,,,,38587,14.08,16.28,7.22,0.28,0.64,45.3,7.22,54.43,60.61,44.92,11.9,Demais serviços,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",Comércio e reparação de veículos automotores e motocicletas,10,5,6
5102603,13141.89,90.7,42030.0,35409.0,3948,49.67,6.83,4.63,0.18,0.0,28.34,2.16,25.58,36.38,21.58,5.13,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social",Demais serviços,"Pecuária, inclusive apoio à pecuária",5,10,8
5102637,65984.21,64.5,125760.0,97783.0,13921,22.91,14.16,7.93,0.15,0.78,32.13,13.27,74.75,58.55,37.22,11.32,"Agricultura, inclusive apoio à agricultura e a pós colheita",Comércio e reparação de veículos automotores e motocicletas,Demais serviços,4,6,10
5102678,50514.37,72.1,98847.0,86411.0,16930,28.82,14.97,7.61,0.71,0.41,32.6,8.6,62.34,60.0,39.44,11.02,"Agricultura, inclusive apoio à agricultura e a pós colheita",Demais serviços,Comércio e reparação de veículos automotores e motocicletas,4,10,6
5102686,158121.62,,,,2547,30.79,12.37,6.83,0.16,0.64,33.77,5.27,62.17,54.33,36.34,9.6,"Agricultura, inclusive apoio à agricultura e a pós colheita",Comércio e reparação de veículos automotores e motocicletas,Demais serviços,4,6,10
5102694,19532.86,92.6,14255.0,12349.0,2073,46.45,10.68,6.31,0.0,0.0,26.94,4.03,23.85,41.1,27.58,6.17,"Agricultura, inclusive apoio à agricultura e a pós colheita","Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social","Pecuária, inclusive apoio à pecuária",4,5,8
5102702,47876.06,75.2,,,9111,23.26,17.59,7.4,0.0,0.47,40.76,4.17,49.98,53.53,33.64,9.47,"Agricultura, inclusive apoio à agricultura e a pós colheita",Comércio e reparação de veículos automotores e motocicletas,Demais serviços,4,6,10
5102793,13261.31,85.2,26154.0,21100.0,5230,53.14,10.69,4.68,0.28,0.32,25.95,2.48,34.84,44.06,24.59,4.91,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social","Pecuária, inclusive apoio à pecuária",Demais serviços,5,8,10
5102850,14485.8,84.6,20526.0,17306.0,3829,47.57,7.83,4.49,0.0,0.0,29.71,3.71,30.45,42.04,26.07,4.7,"Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social","Pecuária, inclusive apoio à pecuária",Demais serviços,5,8,10
